,Samplingpoint,Pollutant,Start,Value,Unit
1872,IT/SPO-IT0466A_00005_500,5,2003-03-19,80.0,ug.m-3
1873,IT/SPO-IT0466A_00005_500,5,2003-03-20,103.0,ug.m-3
1874,IT/SPO-IT0466A_00005_500,5,2003-03-21,74.0,ug.m-3
1875,IT/SPO-IT0466A_00005_500,5,2003-03-22,40.0,ug.m-3
1876,IT/SPO-IT0466A_00005_500,5,2003-03-23,48.0,ug.m-3
1877,IT/SPO-IT0466A_00005_500,5,2003-03-24,82.0,ug.m-3
1878,IT/SPO-IT0466A_00005_500,5,2003-03-25,68.0,ug.m-3
1879,IT/SPO-IT0466A_00005_500,5,2003-03-26,52.0,ug.m-3
1880,IT/SPO-IT0466A_00005_500,5,2003-03-27,85.0,ug.m-3
1881,IT/SPO-IT0466A_00005_500,5,2003-03-28,104.0,ug.m-3
1882,IT/SPO-IT0466A_00005_500,5,2003-03-29,88.0,ug.m-3
1883,IT/SPO-IT0466A_00005_500,5,2003-03-30,70.0,ug.m-3
1884,IT/SPO-IT0466A_00005_500,5,2003-03-31,93.0,ug.m-3
1885,IT/SPO-IT0466A_00005_500,5,2003-04-01,70.0,ug.m-3
1886,IT/SPO-IT0466A_00005_500,5,2003-04-02,52.0,ug.m-3
1887,IT/SPO-IT0466A_00005_500,5,2003-04-03,24.0,ug.m-3
1888,IT/SPO-IT0466A_00005_500,5,2003-04-04,27.0,ug.m-3
1889,IT/SPO-IT0466A_00005_500,5,2003-04-05,42.0,ug.m-3
1890,IT/SPO-IT0466A_00005_500,5,2003-04-06,36.0,ug.m-3
1891,IT/SPO-IT0466A_00005_500,5,2003-04-07,32.0,ug.m-3
1892,IT/SPO-IT0466A_00005_500,5,2003-04-08,31.0,ug.m-3
1893,IT/SPO-IT0466A_00005_500,5,2003-04-09,43.0,ug.m-3
1894,IT/SPO-IT0466A_00005_500,5,2003-04-10,22.0,ug.m-3
1895,IT/SPO-IT0466A_00005_500,5,2003-04-11,48.0,ug.m-3
1896,IT/SPO-IT0466A_00005_500,5,2003-04-12,27.0,ug.m-3
1897,IT/SPO-IT0466A_00005_500,5,2003-04-13,34.0,ug.m-3
1898,IT/SPO-IT0466A_00005_500,5,2003-04-14,58.0,ug.m-3
1899,IT/SPO-IT0466A_00005_500,5,2003-04-15,55.0,ug.m-3
1900,IT/SPO-IT0466A_00005_500,5,2003-04-16,73.0,ug.m-3
1901,IT/SPO-IT0466A_00005_500,5,2003-04-17,85.0,ug.m-3
1902,IT/SPO-IT0466A_00005_500,5,2003-04-18,59.0,ug.m-3
1903,IT/SPO-IT0466A_00005_500,5,2003-04-19,42.0,ug.m-3
1904,IT/SPO-IT0466A_00005_500,5,2003-04-20,37.0,ug.m-3
1905,IT/SPO-IT0466A_00005_500,5,2003-04-21,29.0,ug.m-3
1906,IT/SPO-IT0466A_00005_500,5,2003-04-22,50.0,ug.m-3
1907,IT/SPO-IT0466A_00005_500,5,2003-04-23,58.0,ug.m-3
1908,IT/SPO-IT0466A_00005_500,5,2003-04-24,44.0,ug.m-3
1909,IT/SPO-IT0466A_00005_500,5,2003-04-25,57.0,ug.m-3
1910,IT/SPO-IT0466A_00005_500,5,2003-04-26,35.0,ug.m-3
1911,IT/SPO-IT0466A_00005_500,5,2003-04-27,21.0,ug.m-3
1912,IT/SPO-IT0466A_00005_500,5,2003-04-28,38.0,ug.m-3
1913,IT/SPO-IT0466A_00005_500,5,2003-04-29,36.0,ug.m-3
1914,IT/SPO-IT0466A_00005_500,5,2003-04-30,61.0,ug.m-3
1915,IT/SPO-IT0466A_00005_500,5,2003-05-01,47.0,ug.m-3
1916,IT/SPO-IT0466A_00005_500,5,2003-05-02,46.0,ug.m-3
1917,IT/SPO-IT0466A_00005_500,5,2003-05-03,22.0,ug.m-3
1918,IT/SPO-IT0466A_00005_500,5,2003-05-04,34.0,ug.m-3
1919,IT/SPO-IT0466A_00005_500,5,2003-05-05,53.0,ug.m-3
1920,IT/SPO-IT0466A_00005_500,5,2003-05-06,63.0,ug.m-3
1921,IT/SPO-IT0466A_00005_500,5,2003-05-07,56.0,ug.m-3
1922,IT/SPO-IT0466A_00005_500,5,2003-05-08,67.0,ug.m-3
1923,IT/SPO-IT0466A_00005_500,5,2003-05-09,54.0,ug.m-3
1924,IT/SPO-IT0466A_00005_500,5,2003-05-10,58.0,ug.m-3
1925,IT/SPO-IT0466A_00005_500,5,2003-05-11,30.0,ug.m-3
1926,IT/SPO-IT0466A_00005_500,5,2003-05-12,37.0,ug.m-3
1927,IT/SPO-IT0466A_00005_500,5,2003-05-13,44.0,ug.m-3
1928,IT/SPO-IT0466A_00005_500,5,2003-05-14,19.0,ug.m-3
1929,IT/SPO-IT0466A_00005_500,5,2003-05-15,25.0,ug.m-3
1930,IT/SPO-IT0466A_00005_500,5,2003-05-16,32.0,ug.m-3
1931,IT/SPO-IT0466A_00005_500,5,2003-05-17,34.0,ug.m-3
1932,IT/SPO-IT0466A_00005_500,5,2003-05-18,31.0,ug.m-3
1933,IT/SPO-IT0466A_00005_500,5,2003-05-19,37.0,ug.m-3
1934,IT/SPO-IT0466A_00005_500,5,2003-05-20,23.0,ug.m-3
1935,IT/SPO-IT0466A_00005_500,5,2003-05-21,22.0,ug.m-3
